FL_x,FL_y,FR_x,FR_y,BOT_x,BOT_y,BL_x,BL_y,BR_x,BR_y,X,Y,Z
182.3884892086331,121.59712230215827,167.85714285714286,550.0285714285715,177.32258064516128,215.19354838709677,84.875,203.5,144.71428571428572,307.14285714285717,0.0,0.0,0.0
180.02459016393442,181.99180327868854,165.0,518.2307692307693,178.25925925925927,233.0,118.49152542372882,203.27118644067798,146.0,288.0,1.0,0.0,0.0
178.21311475409837,234.3360655737705,161.5,487.54545454545456,181.0,253.0,154.84615384615384,203.64102564102564,143.43517111818116,269.11610577518377,2.0,0.0,0.0
176.12121212121212,279.0,159.42857142857142,459.8095238095238,183.88,274.66,192.5788939984833,199.90543603576154,147.61111111111111,244.22222222222223,3.0,0.0,0.0
174.69473684210527,317.22105263157897,155.55555555555554,435.6666666666667,187.52830188679246,297.77358490566036,227.12,203.52,148.2941176470588,220.1764705882353,4.0,0.0,0.0
173.13333333333333,352.0,153.5,413.875,191.37735849056602,324.0,262.3333333333333,202.29166666666666,147.7480538880999,195.7458266055188,5.0,0.0,0.0
171.48,382.3333333333333,152.2,393.9,194.53731343283582,353.82089552238807,298.380232089133,202.51308974596827,146.46153846153845,165.46153846153845,6.0,0.0,0.0
169.5,410.2096774193548,149.625,374.625,197.97297297297297,387.77027027027026,335.0,199.25,148.75675675675674,133.0,7.0,0.0,0.0
110.38297872340425,113.63120567375887,134.53333333333333,557.6444444444444,143.4375,212.8125,72.625,193.25,116.44444444444444,308.44444444444446,0.0,1.0,0.0
113.21428571428571,176.84285714285716,131.57894736842104,525.8947368421053,146.13953488372093,231.7674418604651,112.9074074074074,197.11111111111111,117.65545095232358,294.7956540191907,1.0,1.0,0.0
115.58119658119658,231.008547008547,127.16666666666667,494.1666666666667,145.52830188679246,251.77358490566039,151.16071428571428,197.17857142857142,113.10061648430738,273.86995254170154,2.0,1.0,0.0
118.20952380952382,277.1333333333333,125.53162913251083,457.941146196992,146.27450980392157,273.80392156862746,193.0,197.0,112.85564010105264,249.5004921756484,3.0,1.0,0.0
120.45652173913044,315.64130434782606,126.24414884528676,433.6076200822662,147.27692307692308,297.84615384615387,228.03571428571428,197.32142857142858,113.74647362106543,226.25519461450364,4.0,1.0,0.0
121.67058823529412,352.81176470588235,125.87713398514262,407.66596959654925,148.74242424242425,324.2121212121212,266.7763157894737,195.32894736842104,115.14672052209542,196.69921297265847,5.0,1.0,0.0
123.13333333333334,384.0,124.0,398.0,149.4111111111111,353.1666666666667,304.5,197.0,110.0,165.0,6.0,1.0,0.0
125.07352941176471,413.75,123.33333333333333,377.6666666666667,151.61290322580646,388.78494623655916,341.4848484848485,192.66666666666666,111.44444444444444,130.55555555555554,7.0,1.0,0.0
31.48076923076923,105.67307692307692,99.08695652173913,565.2608695652174,109.85714285714286,210.07142857142858,37.61814680287898,194.71499191966618,114.00102837967492,331.91562840037545,0.0,2.0,0.0
41.27350427350427,172.94017094017093,96.0,533.0,109.0,230.0,105.3132530120482,187.83132530120483,91.27156136238705,301.0445654370017,1.0,2.0,0.0
49.54477611940298,227.73880597014926,83.12941430014408,496.70466488336893,107.57575757575758,250.8181818181818,147.59701492537314,189.47761194029852,78.03117919316551,270.9027685942636,2.0,2.0,0.0
56.689655172413794,273.9080459770115,98.0,470.0,106.0,273.0,186.77781248959616,174.9667512409813,88.31939384908125,241.51708512848225,3.0,2.0,0.0
62.816326530612244,316.38775510204084,88.91366360609408,438.16932004199697,105.53448275862068,296.58620689655174,230.16981132075472,188.0,73.24860076098253,223.69057913057992,4.0,2.0,0.0
67.45454545454545,352.6181818181818,91.95480817519206,412.6001467487063,103.52173913043478,324.0,271.5353535353535,186.1818181818182,71.77587267395222,194.08931367006807,5.0,2.0,0.0
73.17777777777778,386.1111111111111,99.0706841212596,387.76837091169176,101.77777777777777,354.2345679012346,315.625,183.25,72.0,163.0,6.0,2.0,0.0
76.2,417.0444444444444,103.21967121345529,374.0358089533973,99.52,391.24,354.0571428571429,182.52857142857144,71.65853658536585,127.14634146341463,7.0,2.0,0.0
-2.5847644960806377,122.49056933222039,61.12903225806452,571.8064516129032,74.0,208.0,53.0,178.0,57.0,310.2857142857143,0.0,3.0,0.0
-1.677604656385057,178.23201364031354,57.605336947248304,549.5360748185203,70.70588235294117,227.0,97.35772357723577,176.91869918699186,47.960061233833926,293.3368461223149,1.0,3.0,0.0
9.36254416992412,210.35017869299668,65.18181818181819,503.54545454545456,67.6,250.28,143.67073170731706,180.58536585365854,51.0,269.0,2.0,3.0,0.0
18.272168704779872,264.90357065147225,67.16666666666667,474.1666666666667,65.0,273.0,192.0,180.70833333333334,39.93800442504107,247.81454832795495,3.0,3.0,0.0
5.714285714285714,314.7142857142857,68.71428571428571,448.42857142857144,60.34146341463415,296.8536585365854,232.01111111111112,179.76666666666668,39.11645968649043,234.25595050357873,4.0,3.0,0.0
10.51923076923077,354.21153846153845,70.0,423.5,55.10526315789474,325.12280701754383,278.6818181818182,176.54545454545453,30.978118840562047,201.55860188642617,5.0,3.0,0.0
17.93548387096774,388.9032258064516,67.34233429676368,393.04005411809055,49.45283018867924,355.0188679245283,328.22059265500417,159.86828187933844,26.451187626916493,144.73551993623,6.0,3.0,0.0
25.42,419.26,81.54099198761651,366.8886231630649,41.855670103092784,393.1443298969072,366.84090909090907,170.3181818181818,31.0,124.0,7.0,3.0,0.0
-89.99272181443696,121.97462269994594,23.78723404255319,578.0425531914893,37.0,207.0,33.43478260869565,166.80434782608697,49.13578507200339,322.5736226694957,0.0,4.0,0.0
